CASE;QUESTNNR;MODE;STARTED;GR01_01;GR01_02;GR01_03;GR01_04;GR01_05;GR01_06;GR01_07;IN03;IV01_01;IV04_01;IV04_02;IV03_01;SC04_01;SC04_02;SC05_01;SC05_02;SC06_01;SC06_02;SC07_01;SC07_02;SC08_01;SC08_02;SC09_01;SC09_02;SC10_01;SC10_02;SC11_01;SC11_02;SC12_01;SC12_02;SC13_01;SC13_02;TIME001;TIME002;TIME003;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;Age;Sex
272;long;interview;09.12.2023 15:38;2;1;2;2;2;2;2;1;greedfirst;sc3sc4sc1sc2random2;SC09SC13SC04SC06;Large;9;9;NA;NA;8;8;NA;NA;NA;NA;10;10;10;8;NA;NA;NA;NA;10;10;11;7;30;25;33;32;21;17;NA;13;189;NA;09.12.2023 15:41;1;0;11;11;0;0;0,94;56;Female
348;long;interview;09.12.2023 15:50;2;2;3;2;2;2;1;1;greedlast;sc2sc1sc4sc3random2;SC07SC05SC12SC08;Small;NA;NA;6;5;NA;NA;4;6;3;3;NA;NA;NA;NA;3;5;1;2;NA;NA;3;4;NA;22;16;40;38;75;40;5;243;NA;09.12.2023 15:54;1;0;11;11;0;0;1,23;37;Male
401;long;interview;09.12.2023 15:57;2;1;3;1;1;1;1;1;greedfirst;sc1sc4sc2sc3random2;SC13SC07SC08SC04;Small;8;7;NA;NA;NA;NA;10;8;2;2;NA;NA;NA;NA;8;7;NA;NA;10;9;8;6;23;22;19;31;19;22;NA;8;158;NA;09.12.2023 16:00;1;0;11;11;0;0;1,12;69;Male
882;short;interview;11.12.2023 16:52;2;2;3;2;2;2;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;NA;NA;NA;NA;3;4;27;27;NA;6;NA;NA;NA;NA;67;NA;11.12.2023 16:53;1;0;7;7;0;0;1,34;40;Male
887;short;interview;11.12.2023 16:52;4;2;2;3;4;3;3;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;8;NA;NA;NA;NA;32;4;27;22;NA;2;NA;NA;NA;NA;87;NA;11.12.2023 16:54;1;0;7;7;0;0;1,36;30;Female
1091;short;interview;11.12.2023 17:19;3;3;4;2;3;4;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;NA;5;6;41;45;NA;10;NA;NA;NA;NA;107;NA;11.12.2023 17:20;1;0;7;7;0;0;0,83;55;Male
236;long;interview;09.12.2023 15:33;3;1;1;3;1;1;1;1;greedlast;sc3sc4sc1sc2random2;SC07SC13SC08SC04;Large;1;1;NA;NA;NA;NA;11;11;1;3;NA;NA;1;2;NA;NA;NA;NA;7;7;6;9;NA;27;20;18;20;23;22;4;149;NA;09.12.2023 15:35;1;0;11;11;0;0;1,26;69;Male
1129;short;interview;11.12.2023 17:22;1;1;1;1;1;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;2;3;NA;29;16;3;NA;NA;NA;NA;53;NA;11.12.2023 17:22;1;0;7;7;0;0;1,85;32;Female
1161;short;interview;11.12.2023 17:24;4;4;4;4;4;4;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;7;NA;NA;NA;NA;4;3;10;6;NA;2;NA;NA;NA;NA;25;NA;11.12.2023 17:25;1;0;7;7;0;0;2,46;25;Male
742;short;interview;11.12.2023 16:23;2;1;3;2;2;1;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;NA;NA;11;6;29;27;NA;4;NA;NA;NA;NA;77;NA;11.12.2023 16:24;1;0;7;7;0;0;1;47;Female
647;long;interview;09.12.2023 16:21;4;4;2;4;2;3;2;1;greedfirst;sc2sc3sc4sc1random2;SC05SC09SC12SC06;Small;NA;NA;7;7;5;4;NA;NA;NA;NA;9;8;NA;NA;7;8;5;4;NA;NA;3;3;31;31;10;14;15;12;NA;3;122;NA;09.12.2023 16:23;1;0;11;11;0;0;1,9;31;Male
1080;short;interview;11.12.2023 17:18;3;2;3;3;3;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;NA;NA;NA;NA;NA;NA;26;2;90;17;NA;5;NA;NA;NA;NA;140;NA;11.12.2023 17:20;1;0;7;7;0;0;1,19;40;Male
839;short;interview;11.12.2023 16:46;1;1;1;1;1;1;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;6;NA;NA;NA;NA;NA;NA;12;8;NA;33;36;31;NA;NA;NA;NA;120;NA;11.12.2023 16:48;1;0;7;7;0;0;0,59;55;Female
182;long;interview;09.12.2023 15:18;2;2;1;2;1;2;1;1;greedfirst;sc1sc2sc3sc4random2;SC05SC13SC06SC08;Large;NA;NA;10;8;10;2;NA;NA;6;6;NA;NA;3;7;NA;NA;NA;NA;10;5;7;6;40;32;30;22;28;27;NA;9;201;NA;09.12.2023 15:22;1;0;11;11;0;0;0,94;46;Male
835;short;interview;11.12.2023 16:46;4;2;2;4;3;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;NA;NA;5;4;28;30;NA;4;NA;NA;NA;NA;71;NA;11.12.2023 16:47;1;0;7;7;0;0;1,22;25;Female
187;long;interview;09.12.2023 15:19;2;1;1;1;1;1;1;1;greedfirst;sc4sc1sc2sc3random2;SC07SC09SC12SC04;Small;8;7;NA;NA;NA;NA;9;6;NA;NA;8;7;NA;NA;5;4;1;2;NA;NA;4;3;21;41;19;26;18;25;NA;4;161;NA;09.12.2023 15:22;1;0;11;11;0;0;1,42;52;Female
811;short;interview;11.12.2023 16:40;4;4;4;4;5;4;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;15;3;30;37;NA;14;NA;NA;NA;NA;99;NA;11.12.2023 16:42;1;0;7;7;0;0;0,86;40;Male
838;short;interview;11.12.2023 16:46;1;1;1;1;1;1;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;NA;8;6;22;20;NA;4;NA;NA;NA;NA;60;NA;11.12.2023 16:47;1;0;7;7;0;0;1,19;42;Male
1115;short;interview;11.12.2023 17:20;2;2;2;2;1;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;NA;NA;3;3;17;21;NA;2;NA;NA;NA;NA;46;NA;11.12.2023 17:21;1;0;7;7;0;0;2,01;38;Male
1209;short;interview;11.12.2023 17:27;2;2;2;2;2;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;NA;NA;NA;NA;NA;NA;3;5;NA;14;11;3;NA;NA;NA;NA;36;NA;11.12.2023 17:27;1;0;7;7;0;0;1,94;43;Female
928;short;interview;11.12.2023 16:56;4;2;4;4;4;2;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;3;4;19;17;NA;8;NA;NA;NA;NA;51;NA;11.12.2023 16:57;1;0;7;7;0;0;1,5;32;Male
241;long;interview;09.12.2023 15:33;4;3;5;4;2;3;2;1;greedfirst;sc1sc4sc3sc2random2;SC09SC07SC04SC12;Large;8;5;NA;NA;NA;NA;9;9;NA;NA;10;9;3;6;NA;NA;3;3;NA;NA;5;6;23;125;28;16;14;23;NA;6;246;NA;09.12.2023 15:37;1;0;11;11;0;0;1,18;34;Female
677;long;interview;09.12.2023 16:30;3;2;3;1;1;2;3;1;greedlast;sc1sc2sc4sc3random2;SC05SC09SC12SC06;Large;NA;NA;1;1;11;6;NA;NA;NA;NA;7;7;1;1;NA;NA;1;1;NA;NA;5;3;NA;16;6;13;14;8;13;7;85;NA;09.12.2023 16:31;1;0;11;11;0;0;2,04;51;Male
1114;short;interview;11.12.2023 17:20;3;2;2;2;2;2;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;6;3;16;23;NA;2;NA;NA;NA;NA;50;NA;11.12.2023 17:21;1;0;7;7;0;0;1,77;30;Female
218;long;interview;09.12.2023 15:28;4;2;3;3;4;3;4;1;greedfirst;sc3sc1sc2sc4random2;SC05SC13SC06SC08;Large;NA;NA;8;7;7;8;NA;NA;8;7;NA;NA;7;8;NA;NA;NA;NA;8;7;5;6;6;3;2;2;3;2;NA;3;32;NA;09.12.2023 15:29;1;0;11;11;0;0;2,62;45;Female
1059;short;interview;11.12.2023 17:16;1;1;5;1;1;1;5;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;6;NA;NA;NA;NA;NA;NA;8;13;29;43;NA;10;NA;NA;NA;NA;103;NA;11.12.2023 17:18;1;0;7;7;0;0;0,7;53;Female
209;long;interview;09.12.2023 15:26;5;5;5;5;5;5;5;1;greedfirst;sc4sc2sc3sc1random2;SC07SC09SC12SC04;Large;5;4;NA;NA;NA;NA;11;9;NA;NA;8;8;1;1;NA;NA;4;4;NA;NA;3;14;27;19;97;80;18;110;NA;4;372;NA;09.12.2023 15:32;1;0;11;11;0;0;1,13;36;Female
1128;short;interview;11.12.2023 17:21;3;3;3;4;4;3;3;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;6;NA;NA;NA;NA;NA;NA;4;3;34;10;NA;2;NA;NA;NA;NA;53;NA;11.12.2023 17:22;1;0;7;7;0;0;2,01;22;Male
207;long;interview;09.12.2023 15:26;2;1;2;2;2;2;1;1;greedfirst;sc1sc4sc3sc2random2;SC13SC09SC06SC04;Small;3;3;NA;NA;3;3;NA;NA;NA;NA;3;3;NA;NA;2;2;NA;NA;3;4;3;4;21;41;30;28;22;15;NA;4;168;NA;09.12.2023 15:29;1;0;11;11;0;0;1,43;45;Male
1204;short;interview;11.12.2023 17:26;4;5;3;4;1;3;1;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;11;NA;NA;NA;NA;NA;NA;6;4;NA;21;29;11;NA;NA;NA;NA;71;NA;11.12.2023 17:28;1;0;7;7;0;0;1,04;36;Male
1022;short;interview;11.12.2023 17:11;1;1;1;1;1;1;1;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;6;NA;NA;NA;NA;NA;NA;3;3;NA;12;8;4;NA;NA;NA;NA;30;NA;11.12.2023 17:11;1;0;7;7;0;0;2,17;32;Male
759;short;interview;11.12.2023 16:26;4;4;4;4;4;5;5;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;NA;NA;4;8;16;23;NA;45;NA;NA;NA;NA;57;NA;11.12.2023 16:28;1;0;7;7;0;0;1,11;37;Female
458;long;interview;09.12.2023 16:04;1;1;1;1;1;1;1;1;greedfirst;sc1sc4sc2sc3random2;SC13SC09SC04SC06;Small;1;1;NA;NA;1;1;NA;NA;NA;NA;1;1;NA;NA;1;1;NA;NA;1;1;448;3;15;18;22;16;18;15;NA;13;128;NA;09.12.2023 16:13;1;0;11;11;0;0;1,32;68;Female
276;long;interview;09.12.2023 15:40;1;1;1;1;1;1;1;1;greedfirst;sc2sc3sc1sc4random2;SC07SC09SC04SC12;Small;11;11;NA;NA;NA;NA;11;10;NA;NA;7;8;NA;NA;1;5;7;5;NA;NA;13;4;28;29;32;26;33;40;NA;19;224;NA;09.12.2023 15:44;1;0;11;11;0;0;0,85;50;Female
1202;short;interview;11.12.2023 17:26;4;4;4;3;4;5;3;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;6;5;19;22;NA;7;NA;NA;NA;NA;59;NA;11.12.2023 17:27;1;0;7;7;0;0;1,16;37;Female
595;long;interview;09.12.2023 16:18;4;5;4;3;4;5;4;1;greedlast;sc4sc3sc1sc2random2;SC05SC13SC08SC06;Large;NA;NA;5;5;5;6;NA;NA;5;8;NA;NA;5;6;NA;NA;NA;NA;6;8;3;4;NA;29;7;8;7;73;12;2;145;NA;09.12.2023 16:21;1;0;11;11;0;0;2,2;35;Male
28;long;interview;09.12.2023 14:39;2;1;2;2;1;1;2;1;greedfirst;sc2sc1sc3sc4random2;SC13SC09SC04SC06;Small;8;7;NA;NA;9;4;NA;NA;NA;NA;9;9;NA;NA;3;5;NA;NA;11;7;6;5;26;32;31;24;20;17;NA;12;173;NA;09.12.2023 14:42;1;0;11;11;0;0;1,08;33;Male
890;short;interview;11.12.2023 16:52;4;4;5;3;2;3;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;NA;8;7;NA;29;30;21;NA;NA;NA;NA;95;NA;11.12.2023 16:54;1;0;7;7;0;0;0,74;39;Male
635;long;interview;09.12.2023 16:21;1;1;4;5;1;1;2;1;greedlast;sc2sc3sc4sc1random2;SC13SC07SC04SC08;Large;5;5;NA;NA;NA;NA;6;6;4;5;NA;NA;5;4;NA;NA;NA;NA;1;1;4;7;NA;31;13;37;19;18;29;9;167;NA;09.12.2023 16:23;1;0;11;11;0;0;1,19;41;Female
366;long;interview;09.12.2023 15:52;5;3;5;5;4;4;4;1;greedlast;sc4sc2sc1sc3random2;SC05SC07SC08SC12;Small;NA;NA;8;8;NA;NA;7;6;7;7;NA;NA;NA;NA;8;8;5;7;NA;NA;12;7;NA;38;8;15;9;11;24;5;129;NA;09.12.2023 15:54;1;0;11;11;0;0;1,6;54;Male
202;long;interview;09.12.2023 15:25;3;1;1;2;2;1;1;1;greedlast;sc4sc1sc2sc3random2;SC09SC07SC04SC12;Large;4;5;NA;NA;NA;NA;6;6;NA;NA;7;8;5;6;NA;NA;2;3;NA;NA;3;3;NA;21;10;93;206;15;31;3;202;NA;09.12.2023 15:32;1;0;11;11;0;0;1,58;46;Female
699;short;interview;11.12.2023 15:57;1;1;5;1;2;2;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;6;NA;NA;NA;NA;6;5;NA;28;20;3;NA;NA;NA;NA;62;NA;11.12.2023 15:58;1;0;7;7;0;0;1,29;31;Female
1060;short;interview;11.12.2023 17:16;4;1;5;4;4;4;4;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA;9;10;36;42;NA;15;NA;NA;NA;NA;112;NA;11.12.2023 17:18;1;0;7;7;0;0;0,63;77;Female
845;short;interview;11.12.2023 16:47;4;4;4;5;3;3;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;38;8;20;29;NA;3;NA;NA;NA;NA;98;NA;11.12.2023 16:49;1;0;7;7;0;0;1,04;33;Female
342;long;interview;09.12.2023 15:49;4;3;4;4;4;2;4;1;greedfirst;sc1sc3sc4sc2random2;SC05SC13SC06SC08;Small;NA;NA;8;8;5;5;NA;NA;5;7;NA;NA;NA;NA;7;9;NA;NA;1;1;2;3;14;28;42;32;17;13;NA;6;157;NA;09.12.2023 15:52;1;0;11;11;0;0;1,58;26;Female
719;short;interview;11.12.2023 16:11;2;1;1;1;1;1;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;NA;NA;NA;NA;5;3;18;20;NA;3;NA;NA;NA;NA;49;NA;11.12.2023 16:12;1;0;7;7;0;0;1,62;55;Female
1172;short;interview;11.12.2023 17:24;1;1;2;1;1;1;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;NA;NA;NA;NA;NA;NA;16;113;NA;97;44;4;NA;NA;NA;NA;166;NA;11.12.2023 17:29;1;0;7;7;0;0;0,57;59;Female
984;short;interview;11.12.2023 17:06;4;4;5;2;2;2;2;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;7;NA;NA;NA;NA;4;4;NA;18;12;2;NA;NA;NA;NA;40;NA;11.12.2023 17:07;1;0;7;7;0;0;1,94;49;Male
655;long;interview;09.12.2023 16:22;1;1;3;1;1;1;1;1;greedlast;sc2sc3sc1sc4random2;SC05SC13SC06SC08;Large;NA;NA;11;8;6;6;NA;NA;4;4;NA;NA;6;4;NA;NA;NA;NA;10;7;178;18;NA;35;52;121;53;41;24;31;383;NA;09.12.2023 16:31;1;0;11;11;0;0;0,48;48;Female
465;long;interview;09.12.2023 16:05;4;2;4;2;4;1;2;1;greedfirst;sc1sc3sc4sc2random2;SC13SC07SC04SC08;Small;6;8;NA;NA;NA;NA;9;6;6;3;NA;NA;NA;NA;4;3;NA;NA;1;1;10;5;34;36;30;24;26;33;NA;5;203;NA;09.12.2023 16:08;1;0;11;11;0;0;0,99;56;Female
326;long;interview;09.12.2023 15:47;2;1;4;3;2;2;3;1;greedfirst;sc2sc1sc3sc4random2;SC13SC07SC08SC04;Small;4;3;NA;NA;NA;NA;7;5;2;3;NA;NA;NA;NA;4;5;NA;NA;7;6;6;6;18;36;14;32;30;18;NA;6;166;NA;09.12.2023 15:49;1;0;11;11;0;0;1,2;34;Female
206;long;interview;09.12.2023 15:26;4;2;3;4;4;3;3;1;greedfirst;sc4sc1sc3sc2random2;SC07SC13SC04SC08;Small;9;9;NA;NA;NA;NA;7;7;6;7;NA;NA;NA;NA;7;7;NA;NA;9;6;3;3;22;12;6;5;6;15;NA;94;81;NA;09.12.2023 15:29;1;0;11;11;0;0;2,15;31;Male
416;long;interview;09.12.2023 15:58;2;1;4;2;2;2;1;1;greedlast;sc2sc3sc1sc4random2;SC05SC13SC06SC08;Small;NA;NA;5;7;6;5;NA;NA;3;5;NA;NA;NA;NA;3;7;NA;NA;1;4;5;4;NA;30;18;17;24;21;22;12;153;NA;09.12.2023 16:01;1;0;11;11;0;0;1,21;52;Female
198;long;interview;09.12.2023 15:24;1;2;1;4;5;1;1;1;greedlast;sc1sc3sc4sc2random2;SC13SC09SC04SC06;Small;8;8;NA;NA;4;4;NA;NA;NA;NA;8;8;NA;NA;8;8;NA;NA;2;2;3;2;NA;25;13;9;12;14;17;5;100;NA;09.12.2023 15:26;1;0;11;11;0;0;2,04;30;Male
600;long;interview;09.12.2023 16:19;2;2;2;2;2;2;1;1;greedlast;sc2sc4sc3sc1random2;SC05SC09SC06SC12;Large;NA;NA;6;8;6;8;NA;NA;NA;NA;1;6;1;3;NA;NA;1;1;NA;NA;25;4;NA;35;20;8;31;26;27;6;182;NA;09.12.2023 16:22;1;0;11;11;0;0;1,22;63;Female
190;long;interview;09.12.2023 15:20;2;2;5;2;2;2;4;1;greedfirst;sc4sc2sc3sc1random2;SC09SC13SC04SC06;Small;8;8;NA;NA;11;11;NA;NA;NA;NA;9;9;NA;NA;1;4;NA;NA;8;8;7;6;47;22;26;42;26;28;NA;21;225;NA;09.12.2023 15:24;1;0;11;11;0;0;0,87;57;Female
420;long;interview;09.12.2023 15:59;2;2;3;2;1;2;3;1;greedlast;sc1sc3sc2sc4random2;SC05SC13SC08SC06;Large;NA;NA;11;8;8;2;NA;NA;1;2;NA;NA;3;2;NA;NA;NA;NA;11;6;7;4;NA;18;13;11;14;18;89;4;178;NA;09.12.2023 16:02;1;0;11;11;0;0;1,54;50;Female
755;short;interview;11.12.2023 16:26;3;2;4;4;4;2;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;6;NA;NA;NA;NA;2;4;19;14;NA;5;NA;NA;NA;NA;44;NA;11.12.2023 16:27;1;0;7;7;0;0;1,8;34;Female
901;short;interview;11.12.2023 16:54;2;1;1;1;1;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;10;NA;NA;NA;NA;3;3;NA;23;16;4;NA;NA;NA;NA;49;NA;11.12.2023 16:55;1;0;7;7;0;0;1,67;35;Male
877;short;interview;11.12.2023 16:51;2;1;3;2;1;1;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;NA;NA;NA;NA;3;5;25;37;NA;10;NA;NA;NA;NA;80;NA;11.12.2023 16:52;1;0;7;7;0;0;1,17;54;Female
30;long;interview;09.12.2023 14:40;4;3;3;2;2;2;2;1;greedlast;sc1sc2sc4sc3random2;SC09SC07SC12SC04;Small;7;7;NA;NA;NA;NA;9;9;NA;NA;9;8;NA;NA;8;8;3;3;NA;NA;4;3;NA;21;19;21;11;11;17;2;109;NA;09.12.2023 14:42;1;0;11;11;0;0;1,85;47;Male
797;short;interview;11.12.2023 16:39;4;2;3;3;2;2;1;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;NA;NA;17;4;NA;27;29;3;NA;NA;NA;NA;80;NA;11.12.2023 16:40;1;0;7;7;0;0;1,12;42;Male
955;short;interview;11.12.2023 17:01;4;4;4;4;4;4;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;8;NA;NA;NA;NA;3;3;10;11;NA;6;NA;NA;NA;NA;33;NA;11.12.2023 17:02;1;0;7;7;0;0;2,09;33;DATA_EXPIRED
974;short;interview;11.12.2023 17:04;2;1;1;2;2;1;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;NA;NA;NA;NA;2;2;18;17;NA;2;NA;NA;NA;NA;41;NA;11.12.2023 17:05;1;0;7;7;0;0;2,35;35;Female
950;short;interview;11.12.2023 17:01;3;2;4;3;3;2;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;NA;NA;NA;NA;NA;NA;8;16;37;51;NA;3;NA;NA;NA;NA;115;NA;11.12.2023 17:03;1;0;7;7;0;0;0,9;34;Male
422;long;interview;09.12.2023 15:59;2;2;2;2;2;2;2;1;greedlast;sc2sc3sc4sc1random2;SC13SC09SC04SC06;Large;5;6;NA;NA;3;4;NA;NA;NA;NA;2;5;2;3;NA;NA;NA;NA;3;3;5;3;NA;40;31;34;49;22;20;6;210;NA;09.12.2023 16:02;1;0;11;11;0;0;1,13;25;Female
1106;short;interview;11.12.2023 17:20;3;3;5;2;2;2;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;8;NA;NA;NA;NA;13;8;35;26;NA;16;NA;NA;NA;NA;98;NA;11.12.2023 17:21;1;0;7;7;0;0;0,69;50;Female
438;long;interview;09.12.2023 16:02;2;2;4;3;2;3;3;1;greedlast;sc1sc2sc3sc4random2;SC09SC13SC04SC06;Large;4;3;NA;NA;3;2;NA;NA;NA;NA;8;8;4;3;NA;NA;NA;NA;6;6;12;25;NA;47;32;23;63;43;27;15;287;NA;09.12.2023 16:07;1;0;11;11;0;0;0,65;53;Male
1070;short;interview;11.12.2023 17:17;5;4;5;4;5;5;5;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;NA;NA;7;4;NA;16;52;9;NA;NA;NA;NA;88;NA;11.12.2023 17:18;1;0;7;7;0;0;1,03;37;Female
1058;short;interview;11.12.2023 17:16;3;3;1;1;1;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;7;6;NA;30;26;7;NA;NA;NA;NA;76;NA;11.12.2023 17:17;1;0;7;7;0;0;0,92;76;Female
1119;short;interview;11.12.2023 17:21;3;2;2;3;2;3;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;7;NA;NA;NA;NA;NA;NA;12;14;29;33;NA;8;NA;NA;NA;NA;96;NA;11.12.2023 17:22;1;0;7;7;0;0;0,71;76;Male
35;long;interview;09.12.2023 14:46;4;5;4;4;5;4;4;1;greedlast;sc3sc4sc1sc2random2;SC05SC13SC08SC06;Large;NA;NA;4;7;3;5;NA;NA;2;4;NA;NA;2;5;NA;NA;NA;NA;9;8;4;19;NA;38;28;34;32;24;18;13;210;NA;09.12.2023 14:50;1;0;11;11;0;0;0,95;36;Male
799;short;interview;11.12.2023 16:39;3;2;3;1;1;1;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;121;8;NA;26;30;17;NA;NA;NA;NA;88;NA;11.12.2023 16:42;1;0;7;7;0;0;0,6;53;Female
503;long;interview;09.12.2023 16:09;4;4;4;3;4;3;2;1;greedlast;sc4sc3sc1sc2random2;SC07SC13SC04SC08;Small;7;6;NA;NA;NA;NA;6;6;5;5;NA;NA;NA;NA;6;7;NA;NA;7;7;4;3;NA;14;18;8;15;11;15;12;100;NA;09.12.2023 16:11;1;0;11;11;0;0;1,86;44;Female
748;short;interview;11.12.2023 16:24;4;4;4;4;4;2;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;NA;NA;NA;NA;165;5;21;22;NA;3;NA;NA;NA;NA;58;NA;11.12.2023 16:28;1;0;7;7;0;0;1,14;44;Female
350;long;interview;09.12.2023 15:50;1;1;2;1;1;1;1;1;greedfirst;sc2sc4sc3sc1random2;SC05SC07SC12SC08;Small;NA;NA;2;4;NA;NA;1;1;3;4;NA;NA;NA;NA;1;2;4;6;NA;NA;9;5;16;26;34;25;34;27;NA;10;186;NA;09.12.2023 15:53;1;0;11;11;0;0;1,03;35;Male
675;long;interview;09.12.2023 16:27;3;1;1;5;1;3;2;1;greedlast;sc1sc3sc4sc2random2;SC05SC09SC12SC06;Large;NA;NA;7;6;8;7;NA;NA;NA;NA;7;6;5;4;NA;NA;4;6;NA;NA;4;7;NA;39;22;5;66;8;19;3;173;NA;09.12.2023 16:30;1;0;11;11;0;0;1,71;25;Female
306;long;interview;09.12.2023 15:45;4;3;4;3;4;3;1;1;greedfirst;sc4sc2sc3sc1random2;SC05SC09SC06SC12;Small;NA;NA;11;11;7;5;NA;NA;NA;NA;9;9;NA;NA;8;7;5;5;NA;NA;18;8;80;52;49;44;56;49;NA;18;374;NA;09.12.2023 15:51;1;0;11;11;0;0;0,51;59;Female
800;short;interview;11.12.2023 16:39;2;1;4;2;1;2;3;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;9;NA;NA;NA;NA;10;7;36;40;NA;14;NA;NA;NA;NA;107;NA;11.12.2023 16:41;1;0;7;7;0;0;0,67;66;Female
