ID,Title,Date,Step1_Coder1,Step1_Coder2,Step1_TieBreaker,Step2_Coder1,Step2_Coder2,Step2_TieBreaker,CouldNotFindFullText
228,"Alone for Covid Holidays? Family Recipes, Flexibility and Online Connections Can Help; How people across the U.S. are dealing with a more solitary holiday season",12/16/20,1,1,1,1,1,1,
229,"CORONAVIRUS IN CALIFORNIA; Chaplains are lifeline for inmates amid virus; Jail, prison clergy strive to stay connected with those in lockups facing greater isolation",12/16/20,1,1,1,0,0,0,
230,"Intimations' Review: Scenes from a Global Humbling; From solitary suffering to madness in company, Zadie Smith traces the pandemic's marks on the human heart.",12/18/20,1,1,1,0,0,0,
231,"Covid Spurs Families to Shun Nursing Homes, a Shift That Appears Long Lasting; Fearing infection and isolation, relatives are turning to home care as new services make that option more possible for many",12/21/20,0,1,1,0,0,0,
232,Safety: Falls Linked to Social Isolation: [Science Desk],12/22/20,1,1,1,1,1,1,
233,COLUMN ONE; Some down-to-Earth talk; Ham radio can ease the isolation of life in space,12/25/20,1,0,1,0,0,0,
234,Easing senior isolation is often a click or a call away: Nonprofits strive to keep older adults active amid pandemic,12/26/20,1,1,1,1,1,1,
235,"Pregnancy loss, virus diagnosis bring isolation; Coping with COVID, woman's quarantine adds emotional weight to physical recovery.",12/27/20,0,1,1,1,0,0,
236,Reflecting on a pants-less year of isolation and hand-washing,12/30/20,1,1,1,0,0,0,
237,Isolation and inundation,12/30/20,1,1,1,0,0,0,
238,Full Isolation: [Op-Ed],1/3/21,1,1,1,1,1,1,
239,"To cope with the isolation of the pandemic, she embraced the natural world. She wasn't alone.",1/3/21,1,1,1,1,1,1,
240,Shrouded in solitude,1/9/21,1,1,1,0,0,0,
241,"CORONAVIRUS IN CALIFORNIA; Easing teens' 'collective trauma' during pandemic; Through the nonprofit City Year, recent college grads help students navigate the fear and isolation.",1/12/21,1,1,1,1,1,1,
241,"Arias on Identity, Isolation and Fear; This year's Prototype Festival features six boundary-pushing operas, most of which can be enjoyed at home.",1/13/21,0,1,1,0,0,0,
243,Looking for a cure for loneliness? Try the arts: Minnesotans combat the pain of isolation with projects big and small.,1/17/21,1,1,1,1,1,1,
244,Artists' works reflect the effects of confinement and isolation,1/17/21,1,1,1,0,0,0,
245,"THE COMPOSERS; Beauty rises out of isolation and sorrow; Scores by Terence Blanchard, Howard Shore, and Trent Reznor and Atticus Ross manage to soothe at the same time they reflect pain.",1/26/21,1,1,1,0,0,0,
246,Laughter Refreshes Bonds With Departed Loved Ones; Shared delight in the midst of grief can only occur with others; solitary grieving cannot accommodate laughter.,1/31/21,0,1,1,1,1,1,
247,WHY OLDER PEOPLE HAVE A HARDER TIME IN THE PANDEMIC; SENIORS WERE ALREADY IN A LONELINESS EPIDEMIC. HERE'S HOW TO EASE THE ISOLATION FOR YOURSELF OR LOVED ONES,2/6/21,1,1,1,1,1,1,
248,Alison Wright Turned Isolation Into Stardom; The 'Snowpiercer' and 'Americans' actress developed emotional awareness as a young dancer in England,2/10/21,0,1,1,0,0,0,
249,You Should Talk to Strangers—Even During the Pandemic; Social distancing and isolation mean we're missing out on serendipitous exchanges with strangers. Here's why—and how—we should work to make them happen.,2/16/21,0,1,1,1,0,1,
250,THE CONTENDERS; A connection amid isolation; David Strathairn admires the resiliency of the community of outliers in 'Nomadland.',2/18/21,0,1,1,0,0,0,
251,New Mothers Are Lonely During Coronavirus. Mom-Shaming on Social Media Is Making It Worse. The pandemic has exacerbated the isolation of early motherhood; some apps are trying to create a safer space for new moms,2/20/21,1,1,1,1,0,0,
252,Lonely? Matchmakers say you're not alone; DATING COACHES REPORT BOOMING BUSINESS DESPITE THE PANDEMIC'S RESTRICTIONS. CLIENTS HAVE TIME TO FOCUS.,2/20/21,0,1,1,0,0,0,
253,"Inoculated but still on lockdown in care homes; With vaccination rates up, many are desperate to ease crushing isolation in nursing facilities",2/20/21,0,1,1,1,0,1,
254,"Empty Shelves, Broken Pipes and a Feeling of Being 'Alone Out Here': [National Desk]",2/26/21,1,1,1,0,0,0,
255,Asian Americans are feeling under attack and largely alone,2/26/21,0,1,1,0,0,0,
256,"THE PANDEMIC :: ONE YEAR IN; After a year of COVID isolation, the usual feels odd",3/11/21,1,0,1,0,0,0,
257,I confess: I've enjoyed the solitude of this pandemic year,3/12/21,1,1,1,1,1,1,
258,Garner finds peace being home alone,3/17/21,1,1,1,0,0,0,
259,"How to Prepare Pets for Your Return to the Office; Many pets, especially those adopted during the pandemic, aren't used to being left home alone regularly. A vet explains what owners can do to relieve the stress",3/20/21,0,1,1,0,0,0,
260,"They give birth, and they're alone': An Italian mother's covid isolation",3/24/21,0,1,1,0,0,0,
261,End Long-Term Solitary Confinement: [Editorial],3/26/21,0,1,1,1,0,0,
262,"SAM GENDEL'S LUSH PANDEMIC; THE ECLECTIC JAZZ MUSICIAN'S STREAK OF ALBUMS HELPED EASE THE ISOLATION. THINK OF HIS LATEST, A 52-SONG OPUS, AS HIS 'PLAYLIST.'",3/28/21,1,1,1,0,0,0,
263,"After Suicide of Loved Ones, Toll of Long Isolation Is Felt: [Foreign Desk]",3/28/21,1,1,1,1,0,1,
264,My 18 Years in Solitary Confinement: [Op-Ed],3/29/21,1,1,1,1,0,0,
265,"For children, isolation can linger: Some kids who have fallen off the 'coronavirus cliff' need adult support",4/2/21,1,0,1,1,1,1,
266,Solitary Confinement: [Letter],4/2/21,0,1,1,0,0,0,
267,"Pandemic Spreads Isolation, and Nations Try to Soften the Sounds of Silence; Coronavirus-era social isolation prompts Japan to name a loneliness minister",4/4/21,1,1,1,1,1,1,
268,"For Elizabeth Perkins, Life on a New England Farm Let Her Imagination Run Wild; The co-star of 'The Moodys' on how isolation and parental alcoholism led her to acting",4/6/21,0,1,1,0,0,0,
269,"Self-barred gamblers return to casinos amid stress, isolation of pandemic",4/7/21,0,1,1,0,0,0,
270,"Loneliness, Anxiety and Loss: the Covid Pandemic's Terrible Toll on Kids; A year of school shutdowns and family trauma leads to social isolation, stress and mental-health issues",4/9/21,1,1,1,1,1,1,
271,"Introvert, extrovert: Who are you now?: Social distancing and isolation have taxed extroverts and introverts, but for different reasons. Has your personality changed permanently?",4/10/21,1,1,1,1,0,1,
272,What Covid-19 Taught Us About the High Cost of Isolation; Let's take the lessons of the past year and apply them to the post-pandemic world,4/10/21,1,1,1,1,1,1,
273,Slim but spirited farm fables: FICTION: Jim Heynen's collection of short-short stories offers flashes of the beauty and solitude of a rural childhood.,4/11/21,1,1,1,0,0,0,
274,Cook County chief judge's office to examine solitary confinement practices at juvenile jail,4/16/21,0,1,1,0,0,0,
275,The Solitary Queen: [Letter],4/20/21,1,1,1,1,0,1,
276,"At D.C. jail, a mass form of solitary confinement",4/20/21,0,1,1,1,1,1,
277,Even introverts feel isolation,4/24/21,1,1,1,1,1,1,
278,The torture of solitary,4/29/21,1,1,1,0,0,0,
279,"Tech Firms Tweak Work Tools to Grapple with 'Digital Exhaustion'; Workplace experts say it's a start, but the new features don't fully address the burnout and isolation of at-home workers",4/30/21,1,1,1,0,0,0,
280,How isolation during this pandemic can make your chronic pain worse,5/11/21,1,1,1,1,0,1,
281,The pandemic actually eased my isolation,5/11/21,1,1,1,1,1,1,
282,Friend worries about best friend's isolation,5/18/21,1,1,1,0,0,0,
283,Bills aim to avoid nursing home isolation,5/24/21,0,1,1,0,0,0,
284,The power of creative isolation,6/11/21,1,1,1,0,0,0,
285,"Life on the lake: DOCKS BRING US CLOSER TO NATURE, WHETHER FOR SOLITUDE, SOCIALIZING OR JUST A LITTLE FUN.",6/20/21,0,1,1,0,0,0,
286,Friendships 'cannot just exist on texts alone': It's time to revive relationships that were disrupted by the pandemic,6/20/21,1,1,1,0,0,0,
287,A Millennium Of Solitude Hasn't Cowed This Giant: [National Desk],6/29/21,0,1,1,0,0,0,
288,Working within isolation; Roberto Gil de Montes' paintings capture our current distanced states,7/4/21,1,1,1,0,0,0,
289,Illustrating isolation: Is loneliness the biggest thing we never talk about? Enter 'Seek You' by former Chicago author Kristen Radtke,7/14/21,1,1,1,1,1,1,
290,"U.S. Drug-Overdose Deaths Soared Nearly 30% in 2020, Driven by Synthetic Opioids; Fentanyl, along with isolation and stress from Covid-19 pandemic, propelled surge, experts say",7/14/21,1,0,1,1,0,1,
291,"2020’s hidden epidemic: Fueled by isolation, mental health issues and unemployment, overdose deaths have surged",7/18/21,1,0,1,1,0,1,
292,"Virus fueled booze use, experts say: Sales soared during pandemic amid isolation, job loss",7/18/21,1,1,1,0,0,0,
293,"Isolation, inequity make heat waves more deadly",7/22/21,1,1,1,0,0,0,
294,Wife's request for alone time at home unmet,7/25/21,1,1,1,0,0,0,
295,"For Olympic Athletes, It's Been an Even More Stressful Games Than Usual; The pandemic has made enduring the isolation and anxiety of competing in the Olympics even more difficult for athletes",7/31/21,1,1,1,0,0,0,
296,The Dystopian Quarantines That Crushed Olympic Dreams; Isolation exacerbated the devastation felt by athletes who tested positive for Covid-19 in Tokyo. One athlete built a companion named Bob for company.,8/5/21,1,1,1,0,0,0,
297,"Enigmatic Isolation; Mysteries abound in Edward Hopper's 'Western Motel,' which invites viewers to craft their own story about what's happening.",8/6/21,0,1,1,0,0,0,
298,"The Smarter Way to Visit Great Smoky Mountains, America's Most Popular National Park; On a return trip to Great Smoky Mountains National Park, a traveler learns from past mistakes and finds her own patch of euphoric solitude. Plus: Best strategies for beating the crowds at Yellowstone, Zion and the Grand Canyon.",8/6/21,1,1,1,1,0,0,
299,Here to Help; How Parents Can Get Alone Time: [The Arts/Cultural Desk],8/18/21,1,1,1,1,0,0,
300,Time for Pandemic Puppies to Learn How to Be Alone,8/21/21,1,1,1,0,0,0,
301,"How parents and teachers can help kids: After a year of isolation, some are nervous about returning to school",8/29/21,1,1,1,0,0,0,
302,"Sweet, sweet solitude",9/5/21,1,1,1,0,0,0,
303,An Open-Air Retreat With Oceanfront Solitude: [Real Estate Desk],9/12/21,0,1,1,0,0,0,
304,"Anxious About Talking to People After Lockdown? Here's Some Advice; After months of isolation, you may feel you have nothing interesting to say. But research shows you can relax.",9/13/21,1,1,1,1,0,1,
305,"29-mile trail loop offers epic views, solitude",9/20/21,0,1,1,0,0,0,
306,"In Costa Rica, a Family Vacation That Rivals the Kardashians'—Only Much Cheaper; Seeking adventure in solitude, two families book an entire rainforest lodge for themselves and spend a week ziplining, jumping into rapids and boating through eerie mangroves. 'Even the teens were impressed.'",9/29/21,0,1,1,0,0,0,
307,COVID adds to isolation for some,10/10/21,1,1,1,1,0,1,
308,"Zoom, Slack, Google Hangouts and More: The Hidden Risks of Remote Work; A researcher says they have many benefits. But they also come with four big downsides: isolation, exclusion, surveillance and self-censorship.",10/29/21,0,1,1,0,0,0,
309,The Self-Isolation of the American Left: [Op-Ed],10/29/21,1,1,1,0,0,0,
310,"Solitary confinement, says Angela Davis, is torture. Illinois has a chance to restrict its use. [Corrected 11/06/2021]",11/5/21,0,1,1,0,0,0,
311,Isolation: [Review],11/5/21,1,1,1,0,0,0,
312,"Emotional toll of adult acne: Facial blemishes can affect people in their 30s, 40s and beyond, leading to depression, anxiety and social isolation",11/10/21,1,1,1,0,0,0,
313,"In Elizabeth Holmes Trial, Ex-Theranos Employees Cite Culture of Fear and Isolation; Pervasive secrecy kept even high-ranking people at startup in the dark, former employees say in testimony",11/13/21,1,1,1,0,0,0,
314,"Five Principles for a Better Post-Pandemic You; Covid has worsened the stress and isolation of modern life, but a few simple ideas can put us on the path to well-being.",11/19/21,1,1,1,1,0,1,
315,Youths facing mental health crisis; Surgeon general issues advisory to focus attention on problems made worse by pandemic isolation.,12/7/21,1,1,1,0,1,1,
316,Feeling truly alone? Here are ways to fight it.,12/7/21,1,1,1,1,1,1,
317,"In a Time of Crisis, a City Fights Isolation",12/15/21,1,1,1,1,0,1,
318,Adams's Reform Plan for Rikers Reinstates Solitary Confinement: [National Desk],12/17/21,0,1,1,0,0,0,
319,LONELY HEARTS UNITE; ARTISTS FROM AROUND THE WORLD TAKE ON PANDEMIC-ERA FEELINGS OF ISOLATION AND MELANCHOLY IN A CATHARTIC NEW EXHIBITION AT LAXART,12/19/21,1,1,1,0,0,0,
320,"A House Ideal for Reunions, and Time Alone: [Real Estate Desk]",12/26/21,1,1,1,0,0,0,
321,READERS WRITE The question of isolation,12/26/21,1,0,1,0,0,0,
322,"U.S. Companies Say Shortened Isolation Will Ease Staffing Woes, but Health Concerns Linger",12/28/21,1,1,1,0,0,0,
323,"Elder Abuse Spreads, Stoked by the Pandemic; Older Americans are falling victim to fraud, physical violence and neglect as family isolation and staffing shortages erode safeguards",12/28/21,1,0,1,0,0,0,
324,Dangerous isolation follows clearing of encampments,1/6/22,0,1,1,0,0,0,
325,"Magic' Multigenerational Housing Aims to Alleviate Social Isolation; Two co-living communities set to break ground this year seek to address loneliness, as well as the caregiving and affordable-housing shortages, in the U.S.",1/10/22,1,1,1,1,1,1,
326,Pope Francis Denounces 'Cancel Culture' and Antivaccine 'Ideology'; Pontiff also warned of children's social isolation from school closures during pandemic,1/10/22,1,1,1,0,0,0,
327,Solitary defined: matter of opinion: Rights advocates differ widely with prison officials on the meaning of isolation,1/16/22,0,1,1,1,0,0,
328,Feeling especially anxious? You're not alone; Stress levels are at an 'all-time high' amid a pandemic that seems as if it will never end.,1/19/22,1,1,1,0,0,0,
329,Isolating incidents: State prisons should limit the use of solitary confinement,1/23/22,0,1,1,0,0,0,
330,Holocaust survivor voices through isolation of pandemic [Corrected 01/29/2022],1/28/22,1,1,1,0,0,0,
331,"The invisible toll of fibroids: Black women are more likely to have uterine growths, experience debilitating symptoms that can leave them feeling fearful, depressed, helpless and alone",2/2/22,1,1,1,0,0,0,
332,Our cells 'listen for loneliness'; 'So lonely you could die' isn't just a song lyric. Neurogenomics is proving the human nervous system is not well suited to isolation.,2/6/22,1,1,1,1,1,1,
333,Zendesk Needs to Find Peace in Solitude; Acquisition of SurveyMonkey parent looks unlikely against sharp opposition,2/15/22,1,1,1,0,0,0,
334,"27 Years in Solitary, and a Plea for Help: [National Desk]",2/15/22,0,1,1,1,0,0,
335,Solitary confinement is torture,2/17/22,1,1,1,0,0,0,
336,A Fantasy Writer With Dreams of Solitude: [Metropolitan Desk],2/20/22,1,1,1,0,0,0,
337,"For Some in England, End of Virus Rules Threatens More Isolation",2/23/22,1,0,1,0,0,0,
338,The costs of solitary,2/24/22,1,1,1,0,0,0,
339,The Forced Isolation of Children in the Covid Era; More acknowledgment that harms were many and benefits were few.,3/8/22,1,1,1,0,0,0,
340,Being Alone Doesn't Have to Be Lonely: [Science Desk],3/8/22,1,1,1,1,1,1,
341,"With solitary deaths rising, finding survivors is a struggle",3/14/22,1,1,1,0,0,0,
342,"One hot summer: After two years of COVID-caused disruption and isolation for kids, there's an explosion of interest in camps.",3/19/22,1,1,1,0,0,0,
343,"To Enjoy Social Contact, Choice Matters; New research shows that people are least happy when they don't have control over whether to spend time alone or in a group",3/24/22,1,1,1,1,1,1,
344,"Loneliness, anxiety, isolation: Long Island moms describe pandemic's toll: MOMS OF THE PANDEMIC: Stress, lack of support causing mental health problems",3/28/22,1,1,1,1,1,1,
345,"How the Epic, Dystopian Novel Took Over Bookshelves; Between the enforced isolation of the pandemic and the specter of apocalypse, prize-winning novelists like Jennifer Egan, Emily St. John Mandel and others have turned their sights on dystopian, grand-scale fantasies. Why?",3/31/22,1,1,1,0,0,0,
346,Walking group helps women connect after two years of pandemic solitude,4/4/22,1,1,1,0,0,0,
347,Writers Gather to Discuss the Role of Literature in Times of War and Isolation,4/5/22,1,1,1,0,0,0,
348,"These Country Getaway Rentals Are So Well Hidden Their Location Is Top Secret; In these luxe cabins in the Canadian woods, solitude-seeking vacationers can disappear without roughing it",4/12/22,1,0,1,0,0,0,
349,Some good ways you can carve out 'alone time',4/12/22,1,1,1,1,1,1,
350,Covid Patient In Shanghai Describes Life In Isolation: [Foreign Desk],4/16/22,0,1,1,0,0,0,
351,The cost of isolation and disappointment: FICTION: A probing look at the roots of inhumanity and how the past can poison our compassion.,5/15/22,1,1,1,0,0,0,
352,"Before Attack, Solitary Teen Caused Alarm: [National Desk]",5/16/22,1,1,1,0,0,0,
353,Musician sought solitude in desert,6/5/22,1,0,1,0,0,0,
354,"Awaiting trial, he was held in solitary for 16 months",6/16/22,0,1,1,0,0,0,
355,"MY COUNTRY; People of color discovering peace in the Inland Empire; As more relocate from big cities in search of a better life, they're welcomed by solitude and surprised by diversity",7/24/22,0,1,1,0,0,0,
356,Will California Restrict Solitary Confinement?,8/11/22,1,1,1,0,0,0,
357,CITY &amp; STATE; Lawmakers move to restrict use of solitary confinement; Newly passed bill aims to ban the punishment for vulnerable inmates and limit it for others.,8/31/22,0,1,1,0,0,0,
358,Feeling alone in grief over police violence,9/5/22,1,1,1,0,0,0,
359,"Migrants placed in solitary cells in retaliation, filing says",9/21/22,1,0,1,0,0,0,
360,An extrovert doesn't understand his partner's need for alone time,9/22/22,1,1,1,1,1,1,
361,Solitary confinement is torture; A bill on Gov. Newsom's desk would restrict the practice to no more than 15 consecutive days.,9/27/22,0,1,1,0,0,0,
362,Newsom vetoes bill on solitary confinement; The governor says the legislation went too far. His critics call the practice in state jails and prisons torture.,10/1/22,0,1,1,0,0,0,
363,"Stories of agony, isolation, ineptitude",10/16/22,1,1,1,0,0,0,
364,"Inmate Suicides Rose Sharply in U.S. Prisons, Jails During Pandemic; More inmates kill themselves amid pandemic isolation, increased use of drugs, staff shortages",10/18/22,1,1,1,1,1,1,
365,"Looking, in vain, to escape isolation and delusion: FICTION: Jonathan Dee's latest novel follows an acerbic narrator.",10/23/22,1,1,1,0,0,0,
366,James proves that GOATs need not obsess in isolation,10/23/22,1,1,1,0,0,0,
367,I've seen the toll it takes. End solitary confinement,10/24/22,0,1,1,0,0,0,
368,"Alcohol-Related Deaths Soared During the First Year of the Pandemic, CDC Study Says; Experts say isolation, financial stress and therapy disruptions may have contributed to jump in alcohol deaths",11/4/22,1,1,1,0,0,0,
369,ONE SHOT; Power in isolation,11/17/22,0,1,1,0,0,0,
370,Navalny Says He Is Now in Permanent Solitary Confinement: [Foreign Desk],11/18/22,1,1,1,0,0,0,
371,"Isolation and Catastrophe, Beautifully Voiced: [Review]",11/18/22,1,1,1,0,0,0,
372,"Path to far-right extremism; Man accused in Pelosi attack was spiraling in isolation, friends say",11/20/22,1,1,1,0,0,0,
373,We are spending scary amounts of time alone. Can we stop ourselves?,11/25/22,1,1,1,1,1,1,
374,"We heard from the nation's top doctor on loneliness, isolation and what to do if you catch COVID [Corrected 12/11/2022]",12/11/22,1,1,1,1,1,1,
375,End isolation for Cook County's youth [Corrected 12/11/2022],12/11/22,1,1,1,1,1,1,
